temperature,rainfall,humidity,yield_apples
97.74,87.48,45.73,69.68
97.00,14.46,84.38,74.18
40.14,75.70,33.91,44.14
59.78,139.45,59.43,75.54
44.07,65.66,75.04,63.87
42.79,97.49,72.16,68.41
22.95,119.17,68.09,64.76
68.77,119.75,93.99,91.58
60.21,82.70,38.28,53.74
24.12,130.11,59.50,63.01
42.29,64.79,90.72,71.00
92.66,134.42,26.23,67.80
39.16,43.63,24.47,32.71
31.59,49.23,38.66,38.65
59.16,17.44,70.64,56.56
98.85,121.38,40.79,74.33
39.36,68.39,35.22,43.10
73.77,42.08,56.70,58.90
80.93,42.45,69.09,67.31
39.01,136.20,39.88,58.88
78.26,126.75,44.06,70.86
49.42,87.49,69.08,66.86
70.58,96.26,95.66,88.26
70.68,76.41,73.98,73.48
62.86,64.83,82.63,73.14
27.22,138.17,49.34,60.47
86.82,27.59,41.78,52.45
45.66,68.58,56.34,55.58
34.92,58.24,84.57,64.41
23.26,79.74,56.50,51.18
67.27,74.07,87.74,78.86
74.21,82.64,99.10,88.34
21.33,29.59,25.76,25.20
60.97,81.84,23.63,46.47
38.12,43.94,31.97,36.21
71.61,35.81,50.75,54.02
33.95,19.08,30.48,29.24
75.28,116.77,89.65,90.76
50.94,69.84,21.85,40.17
94.94,97.73,45.26,70.66
31.00,111.86,34.78,49.06
47.29,105.10,94.52,82.47
29.08,75.87,73.56,60.68
93.98,64.31,92.96,87.54
90.19,62.63,97.79,88.48
40.64,99.61,59.77,62.00
72.80,79.27,38.75,57.07
85.38,128.88,35.50,69.14
64.42,132.46,37.83,64.73
62.37,33.88,76.69,63.83
39.35,29.07,23.24,29.24
27.45,98.26,24.11,39.94
91.78,52.17,68.65,72.29
92.03,12.60,71.36,65.81
70.65,134.41,73.22,84.69
47.12,41.77,49.75,47.36
47.94,140.10,84.48,84.64
78.08,110.44,62.69,76.86
91.77,116.77,28.44,65.11
90.97,38.20,83.77,76.82
82.39,42.79,96.25,81.40
71.36,82.98,24.80,50.40
26.73,34.09,51.31,40.49
32.93,52.76,59.00,49.93
91.88,55.00,31.72,54.42
68.51,32.35,89.42,71.73
20.74,38.73,42.73,35.33
28.12,120.40,82.64,73.84
73.08,33.41,73.68,65.45
20.40,13.98,67.84,42.84
32.86,98.11,35.37,47.16
63.90,146.64,37.66,67.33
75.35,56.37,23.79,45.77
72.16,26.61,39.26,46.60
37.94,89.85,47.64,53.17
76.97,136.89,86.65,93.79
38.98,119.77,49.31,60.30
46.03,97.15,80.37,73.42
79.72,54.11,55.16,62.32
71.97,85.86,82.79,80.16
87.94,22.77,98.10,79.99
72.61,105.05,39.19,62.39
65.46,111.51,88.99,86.44
27.49,145.10,69.75,72.14
49.42,46.46,85.38,66.81
41.22,12.58,72.13,50.95
39.52,86.39,53.92,56.09
97.84,108.95,38.25,70.27
51.45,120.66,25.60,52.37
91.36,37.12,62.84,66.25
70.49,46.65,99.23,80.09
83.58,81.76,79.04,80.95
60.21,56.28,46.19,52.41
66.15,130.47,86.18,89.03
59.40,76.33,81.52,73.85
35.62,121.94,42.53,56.34
77.80,91.29,21.14,52.17
42.46,118.23,29.45,51.11
21.95,56.57,90.18,62.99
71.64,126.40,86.93,90.24
34.17,48.44,43.62,41.75
95.24,86.45,42.82,67.27
96.31,39.96,83.43,78.60
93.19,76.57,95.02,90.78
49.61,54.54,82.33,66.96
21.24,47.34,68.45,50.07
94.27,145.38,39.41,77.06
54.25,32.41,62.06,53.79
97.33,120.23,38.68,72.59
97.09,147.78,84.64,101.00
88.24,12.79,50.96,54.51
43.56,107.86,86.70,77.99
50.81,45.41,50.53,49.59
88.09,15.67,85.93,72.53
45.35,66.40,46.67,50.22
33.56,140.93,55.21,65.86
64.54,11.65,69.24,56.31
94.89,92.30,25.62,59.74
75.68,80.20,95.86,86.67
65.60,132.27,65.89,79.08
27.77,21.76,60.63,43.00
69.20,105.41,87.15,85.42
99.20,105.22,89.26,95.43
31.21,103.67,61.78,60.99
61.47,141.93,94.18,93.92
90.19,125.23,25.18,64.69
79.26,15.88,29.06,41.48
75.76,75.95,67.74,71.79
76.20,65.71,48.33,60.17
48.76,53.42,57.14,53.88
43.49,73.19,46.25,50.81
84.75,63.79,52.38,64.37
84.81,70.53,85.81,82.45
89.37,147.10,67.48,89.97
93.06,22.41,99.79,82.30
60.91,139.11,82.95,87.57
60.12,77.23,41.89,54.43
83.86,97.32,41.15,65.20
72.00,126.23,46.87,70.28
76.16,60.46,87.46,78.67
83.66,70.26,22.18,50.24
91.20,67.33,38.41,60.03
47.04,62.46,92.39,72.80
50.05,139.57,71.19,78.52
27.52,126.05,38.15,52.54
66.26,25.26,37.53,43.70
22.88,25.14,89.01,56.40
57.25,69.90,91.50,76.91
63.41,23.81,40.49,44.03
42.92,96.67,53.64,59.03
67.27,30.12,86.77,69.59
22.44,83.13,81.68,64.20
22.99,11.01,85.11,51.65
85.81,54.32,61.47,67.34
48.82,104.81,92.92,82.07
30.16,77.77,46.08,47.64
61.78,146.96,32.53,64.19
81.60,132.37,76.70,89.30
37.27,60.27,63.15,54.81
69.83,16.37,88.37,68.41
26.83,128.39,26.49,46.97
24.13,137.57,87.50,78.50
62.51,124.89,43.46,65.46
63.25,27.91,72.39,60.75
70.99,149.71,23.21,62.84
78.09,46.20,68.77,67.05
98.07,111.39,77.38,90.39
61.30,137.12,49.50,70.56
45.84,43.00,37.23,40.97
83.61,137.16,63.01,84.02
41.67,53.33,86.66,66.50
55.12,146.70,45.88,68.82
26.28,49.38,40.20,37.86
22.03,143.48,42.31,56.46
97.01,17.50,95.93,80.57
86.88,109.30,48.74,72.29
75.68,84.50,20.29,49.75
52.72,76.90,82.53,72.46
33.86,41.29,75.94,56.39
32.51,108.78,30.29,46.65
40.02,36.71,98.79,68.74
63.94,87.40,68.64,70.98
77.17,45.45,60.06,62.27
72.82,143.79,50.58,75.89
42.39,14.01,91.89,61.46
96.39,37.96,39.52,56.27
79.03,43.92,42.86,53.92
64.35,67.97,29.79,47.79
68.94,42.58,80.73,69.56
53.57,78.79,67.64,65.65
39.82,132.15,68.73,72.74
48.48,109.69,37.48,55.22
80.63,91.19,72.09,78.47
21.15,22.46,81.24,51.46
29.29,107.16,48.63,54.53
23.68,33.30,84.11,55.82
23.26,120.09,47.90,54.95
88.44,45.01,80.65,75.86
76.29,68.39,22.70,47.92
57.93,59.07,64.09,61.24
27.83,130.23,97.56,83.17
59.33,27.72,98.50,72.59
57.88,89.19,42.54,56.47
33.86,29.89,55.31,43.79
54.71,108.67,25.04,50.67
51.88,136.71,89.87,87.84
69.27,70.85,65.49,67.70
70.81,78.33,50.81,62.31
23.62,139.84,29.02,49.56
49.97,82.94,95.74,79.45
70.07,78.26,62.42,67.88
60.25,90.97,42.63,57.58
88.52,106.49,48.02,71.86
72.70,24.96,41.66,47.63
33.03,124.96,68.14,68.97
25.65,70.97,94.40,69.09
71.39,20.13,88.54,69.71
22.12,120.07,56.83,59.06
66.86,62.77,86.12,75.67
95.22,24.05,53.85,60.30
66.04,98.73,40.18,59.65
51.05,133.22,98.67,91.29
71.46,134.29,44.31,70.45
56.66,144.07,45.90,68.76
63.65,131.48,99.18,94.98
95.32,10.30,30.71,46.01
50.89,63.23,80.84,68.33
96.90,124.60,94.87,101.43
92.43,61.28,60.94,70.45
35.66,94.22,20.20,39.64
25.55,94.88,50.00,51.64
28.06,61.10,28.93,35.10
21.46,136.63,53.30,60.41
27.56,80.45,83.20,65.96
74.64,75.07,55.10,64.96
25.70,149.65,54.55,64.91
45.52,79.09,64.54,61.74
87.59,34.98,66.54,66.54
21.86,81.83,88.50,67.17
85.16,123.96,44.67,72.67
42.55,118.76,85.73,79.38
29.45,120.40,65.27,65.55
75.74,109.12,44.04,66.57
70.32,45.59,43.61,52.02
90.20,130.69,48.89,77.64
78.81,135.08,69.82,85.57
84.28,37.18,38.46,51.95
42.56,28.26,93.63,65.23
34.20,146.58,65.99,72.57
80.05,131.57,93.60,97.13
84.55,135.05,23.71,64.23
99.24,134.09,47.41,80.29
53.01,85.84,21.82,43.98
49.76,100.50,41.78,55.92
82.11,86.35,88.96,86.38
47.26,17.17,22.93,29.08
94.46,114.37,54.89,78.66
88.67,80.75,29.41,57.46
54.32,100.68,53.35,63.11
80.07,80.37,87.11,83.65
80.36,78.85,69.85,74.80
28.25,34.05,78.94,54.75
92.20,49.02,47.93,61.43
60.42,32.24,95.55,72.35
86.12,37.39,76.74,71.68
45.60,146.22,53.74,69.79
91.64,31.44,54.12,60.84
51.14,47.70,93.49,71.63
20.87,92.68,66.11,57.85
92.43,95.43,76.51,85.07
27.30,31.56,53.36,41.18
45.55,121.12,37.90,56.84
96.00,119.93,77.88,91.73
96.05,43.22,68.63,71.77
65.88,50.41,60.11,59.90
70.55,141.32,69.92,84.39
55.88,125.59,36.66,60.21
43.46,107.69,83.52,76.34
46.29,21.51,95.85,66.11
73.80,68.56,91.29,81.50
80.19,88.30,45.71,64.57
83.33,36.24,52.48,58.49
83.17,72.75,84.67,81.84
27.30,94.14,67.61,60.82
59.55,55.83,63.83,60.95
24.60,119.33,94.13,78.31
63.96,127.66,62.88,76.16
55.32,55.31,61.20,58.26
91.02,127.41,23.36,64.47
48.07,24.50,25.55,32.10
29.37,127.28,20.59,44.56
31.44,31.39,93.06,62.24
80.92,21.61,52.67,54.93
69.46,99.85,57.48,69.55
28.09,76.07,87.63,67.46
26.73,137.10,68.74,69.81
76.08,60.85,68.76,69.37
25.82,50.20,43.72,39.65
85.75,80.10,86.71,85.10
76.50,73.83,33.27,54.35
26.51,58.22,24.25,31.72
26.79,107.12,35.33,47.13
98.93,116.34,41.42,73.66
49.94,129.42,42.58,62.16
49.65,146.20,73.64,80.95
85.02,47.33,37.43,53.69
95.78,110.25,74.13,87.85
98.88,65.20,27.29,56.35
80.27,104.79,31.78,60.93
50.10,76.64,60.71,60.71
26.68,149.13,93.75,84.70
82.17,112.05,88.77,91.45
64.67,143.35,97.50,96.82
53.94,126.90,72.04,77.58
92.51,136.41,74.07,92.07
28.90,124.02,70.00,68.47
59.41,74.28,69.83,67.59
20.91,45.25,31.77,31.21
57.49,61.84,63.50,61.37
24.50,12.83,50.89,35.36
29.51,83.36,55.40,53.23
29.40,80.71,61.89,55.91
71.94,83.54,30.27,53.42
79.68,146.36,48.76,77.56
66.67,137.60,25.08,60.06
96.97,32.64,98.37,84.80
49.99,61.64,29.48,42.07
42.86,69.35,40.68,47.07
89.49,60.47,91.30,84.59
37.89,121.79,58.62,65.03
97.06,83.37,30.85,61.22
20.97,90.09,50.74,49.68
97.59,129.42,29.27,69.80
23.45,122.83,36.02,49.61
91.29,28.51,24.16,45.17
62.22,109.95,55.06,68.19
99.44,70.96,84.53,86.29
25.90,51.25,66.88,51.46
64.31,17.00,68.51,56.95
97.54,78.21,36.05,62.93
61.85,59.76,47.51,54.26
70.35,45.21,87.62,73.96
75.66,107.25,27.03,57.66
56.36,117.73,88.63,84.77
70.20,44.27,58.70,59.26
66.75,16.92,86.97,66.89
92.09,128.83,45.44,76.11
23.64,11.39,47.11,32.92
42.48,141.20,80.13,81.05
96.03,97.87,82.80,89.78
91.22,55.06,38.37,57.56
56.45,44.51,97.83,74.75
69.61,11.26,26.76,36.52
42.19,42.97,25.48,33.99
35.05,29.28,67.64,50.19
57.10,95.70,77.82,75.18
48.27,33.32,96.87,69.58
66.69,84.01,52.40,63.01
26.22,92.62,22.02,37.40
97.95,51.73,68.23,73.85
98.90,14.91,43.18,54.24
75.85,15.22,54.64,53.12
62.89,13.69,59.08,51.14
44.76,113.48,25.16,48.70
85.10,54.52,58.88,65.87
74.78,121.48,54.11,73.78
33.01,70.44,77.00,62.49
92.87,73.42,71.65,78.37
85.80,81.80,34.82,59.51
95.98,109.82,36.49,69.00
78.06,48.29,40.08,53.12
69.07,27.02,34.32,43.28
53.46,87.85,72.58,69.90
94.62,55.78,99.55,89.32
89.29,71.95,72.17,77.26
23.62,100.57,68.53,61.47
22.11,79.18,52.79,48.86
50.12,96.84,45.01,56.91
84.84,86.19,92.89,89.13
98.98,113.57,97.52,101.17
32.03,108.83,59.74,61.25
67.53,84.79,43.22,58.83
50.47,105.05,81.61,76.96
97.59,132.30,30.60,71.04
87.37,70.52,81.25,80.94
87.07,67.79,85.52,82.44
57.50,116.99,29.99,55.64
53.19,91.56,98.15,83.34
41.87,19.94,98.84,65.97
24.51,134.90,94.94,81.80
89.18,14.31,59.68,59.46
85.03,114.78,39.69,68.31
99.98,116.23,66.56,86.52
99.73,143.44,53.59,85.40
64.43,17.58,36.48,41.09
81.52,93.56,53.89,70.11
95.58,69.90,73.11,79.21
87.97,56.29,25.67,50.48
39.79,22.64,46.67,39.80
56.04,88.77,21.42,45.28
30.33,77.07,79.96,64.49
96.32,24.64,71.26,69.45
68.49,95.75,25.01,52.20
38.29,113.31,97.18,82.74
73.74,117.42,21.81,56.51
69.45,136.75,67.20,81.78
48.65,67.33,82.11,69.12
29.08,143.43,83.03,78.93
73.73,131.16,22.74,59.72
61.62,51.51,92.51,75.04
81.79,32.30,93.48,77.74
61.61,70.95,64.91,65.13
88.17,66.27,58.57,68.99
64.15,90.60,23.59,49.16
64.88,91.67,64.96,70.28
90.13,115.00,52.75,76.41
52.28,81.38,81.82,72.87
30.72,24.68,52.31,40.31
22.30,130.16,74.69,70.07
80.41,53.37,28.11,48.85
69.62,145.98,30.64,65.40
76.33,26.50,31.18,43.79
37.04,144.16,23.64,51.76
30.91,22.74,63.31,45.48
21.16,42.35,83.52,56.58
48.05,16.52,68.83,52.13
67.19,108.72,66.00,74.90
51.38,129.04,74.45,78.45
55.00,70.77,47.17,54.24
92.33,139.99,48.96,80.18
47.86,92.64,45.14,55.46
61.12,98.20,76.97,76.46
82.69,128.36,32.93,66.94
51.72,51.55,21.04,36.35
69.77,59.60,67.70,66.70
88.99,136.83,95.39,101.76
95.96,136.13,68.75,90.39
31.77,146.71,82.63,80.19
94.13,136.26,73.82,92.40
59.37,27.83,59.79,53.27
40.66,125.32,77.47,76.00
56.73,67.38,85.93,73.46
98.40,148.71,37.98,78.25
59.41,76.12,46.89,56.49
46.30,87.54,37.90,50.35
70.67,84.17,56.17,66.12
39.21,55.04,90.81,68.18
26.07,20.50,47.62,35.73
30.31,135.39,49.96,61.15
30.24,122.37,88.83,77.96
32.15,29.53,61.23,46.17
31.11,118.75,62.84,64.50
71.27,97.62,88.86,85.34
34.55,67.28,59.24,53.44
47.65,45.56,74.52,60.67
91.74,130.36,26.85,67.02
57.92,108.03,34.29,56.13
73.40,86.68,52.35,65.53
33.79,95.34,59.59,59.00
35.38,22.75,97.26,63.79
23.27,76.35,97.65,71.08
33.51,37.12,88.10,61.53
42.29,39.17,45.25,43.15
34.16,102.58,97.12,79.32
27.10,137.58,75.15,73.22
29.65,66.53,51.44,47.92
56.86,39.08,76.13,62.94
36.51,100.82,21.32,41.78
49.14,131.97,31.69,56.98
60.27,114.76,86.37,84.22
75.23,131.63,71.65,84.72
23.14,85.12,49.14,48.54
83.95,115.26,60.05,78.26
70.23,29.61,92.41,73.20
26.54,58.76,70.53,54.98
89.89,64.54,51.85,65.80
93.67,81.58,29.63,59.23
24.89,140.07,43.50,57.23
42.15,132.40,98.27,88.26
84.50,28.83,54.99,58.61
79.86,34.19,57.75,59.67
34.76,60.07,59.89,52.39
36.75,50.70,90.73,66.53
49.64,96.07,68.31,68.26
58.76,136.39,75.49,82.65
69.46,144.72,51.15,75.36
49.51,101.50,22.33,46.32
57.00,127.34,94.48,89.81
79.80,83.53,95.93,88.61
22.93,39.17,95.93,62.68
40.19,83.46,95.49,76.49
77.07,87.71,85.22,83.27
91.62,113.94,74.77,87.66
60.93,40.78,87.56,70.22
62.57,61.56,68.04,65.10
28.57,60.96,30.75,36.14
55.79,144.32,51.30,71.25
62.61,72.15,97.70,82.06
39.40,115.71,48.09,59.01
41.54,115.11,89.43,80.20
50.18,47.18,27.46,38.22
21.61,90.06,46.73,47.86
45.77,135.20,48.08,64.81
36.92,76.53,24.13,38.45
46.20,142.32,29.53,57.09
29.58,40.02,35.45,34.60
91.24,20.38,87.03,74.96
67.49,134.80,25.07,59.74
74.33,128.68,43.90,69.98
83.13,148.96,20.81,65.14
59.88,105.12,75.65,76.81
26.95,141.14,69.62,71.12
62.97,125.77,71.60,79.84
66.95,128.22,49.95,70.70
79.64,89.68,36.66,60.16
54.53,63.53,77.63,67.88
30.21,140.84,84.89,79.68
42.70,70.50,31.09,42.45
49.05,85.43,58.95,61.28
71.67,72.46,39.90,55.94
65.66,89.07,33.45,54.24
48.49,75.87,78.75,69.10
98.92,16.72,63.05,64.54
68.46,133.49,37.29,65.88
38.98,72.22,44.80,48.54
28.14,92.45,97.33,75.60
32.23,29.49,87.89,59.51
39.68,10.47,90.40,59.20
32.85,44.34,56.80,47.12
34.93,108.64,69.90,67.16
42.81,23.89,50.14,42.69
33.87,137.24,26.22,50.72
91.74,40.10,52.09,61.59
26.42,38.64,67.52,49.41
61.96,35.41,42.97,47.16
52.83,11.96,87.84,62.16
98.59,118.05,32.09,69.23
28.96,132.50,49.37,59.87
51.83,95.98,29.99,49.74
97.56,36.35,52.39,62.73
89.24,49.94,23.17,48.34
85.37,76.63,41.80,61.84
40.63,143.61,52.06,66.94
33.67,44.63,58.25,48.15
73.49,112.43,63.50,76.28
94.35,71.52,42.00,63.61
64.54,51.70,61.84,60.62
65.73,73.83,60.72,64.84
42.40,19.97,45.29,39.36
81.56,121.82,86.42,92.04
34.96,44.06,63.65,51.12
45.89,111.56,46.58,59.37
54.03,19.57,95.79,68.02
60.61,143.71,87.61,90.73
39.39,37.02,98.61,68.53
29.19,133.58,75.38,73.16
68.85,123.33,50.26,70.45
43.09,145.50,42.47,63.26
66.50,76.90,73.07,71.86
32.35,111.84,98.47,81.31
58.49,61.90,70.14,65.00
62.61,35.81,90.53,71.21
24.15,72.03,46.33,44.82
46.93,33.20,52.56,47.00
30.75,147.49,92.50,84.97
25.07,23.47,80.55,52.49
99.20,92.49,98.51,97.51
45.79,97.70,81.98,74.27
84.79,85.33,55.88,70.44
40.37,102.71,62.49,63.90
74.52,26.27,92.04,73.63
80.82,87.70,64.13,73.85
67.65,50.21,40.43,50.55
57.73,141.62,54.85,73.07
52.95,116.69,61.31,69.88
47.91,146.15,27.74,57.47
94.36,15.26,79.50,71.11
86.45,49.92,28.75,50.29
97.20,37.36,52.39,62.83
29.94,11.56,84.37,53.48
78.47,43.93,57.41,61.03
95.07,105.03,87.36,93.21
34.50,42.35,47.35,42.50
25.32,81.26,96.61,72.15
79.29,134.29,36.76,69.03
65.96,107.13,23.06,52.74
87.35,65.25,89.79,84.15
31.18,62.15,80.18,61.87
83.62,73.80,38.56,59.13
36.13,34.79,98.78,67.19
33.09,98.76,60.18,59.77
33.14,60.98,96.09,70.18
85.17,129.33,60.40,81.62
73.22,115.92,57.75,74.03
61.85,95.47,55.93,65.61
48.71,60.99,46.79,50.21
90.18,39.39,62.70,66.28
51.40,118.66,56.20,67.25
85.33,78.10,22.94,52.69
55.13,41.47,40.83,45.25
50.16,37.32,37.05,41.04
57.01,33.16,89.39,68.43
44.11,118.80,67.91,70.95
79.81,42.06,81.09,72.90
60.22,83.73,96.55,83.09
38.58,73.22,71.52,61.98
91.97,91.15,98.61,95.13
50.71,132.80,44.94,64.24
63.48,131.48,34.90,62.79
92.52,73.15,52.26,68.52
69.94,12.15,57.66,52.24
29.35,69.70,91.63,68.56
95.19,94.87,64.80,79.93
70.22,88.09,43.37,60.37
46.79,101.19,79.41,73.98
31.14,31.57,60.47,45.89
83.52,100.51,32.97,61.64
69.61,35.57,66.15,61.07
62.68,115.07,92.91,88.27
91.51,57.47,87.41,82.65
83.09,109.39,66.94,80.28
32.13,16.70,50.17,38.06
44.94,67.10,26.96,40.38
39.88,108.70,57.57,62.49
79.52,41.76,80.17,72.29
22.68,121.34,48.82,55.48
65.59,98.31,38.84,58.76
81.00,92.26,94.51,90.01
90.14,59.50,85.72,81.80
47.37,77.54,71.06,65.25
85.70,93.63,30.94,59.91
28.85,76.14,31.59,39.68
87.72,107.76,28.26,62.00
30.20,70.72,69.30,57.85
51.78,38.32,29.25,37.82
83.78,39.95,87.41,76.83
31.99,10.81,99.44,61.48
38.34,52.13,49.31,46.58
77.78,114.85,56.29,74.45
77.60,121.18,76.93,85.98
71.29,38.35,94.97,76.54
75.52,144.27,91.53,97.28
63.42,80.34,24.61,47.40
40.14,138.38,33.53,56.48
47.66,108.95,80.37,76.27
34.53,111.14,75.11,70.14
92.68,21.91,30.66,47.52
66.67,40.80,60.17,58.25
52.07,11.23,82.47,59.10
56.96,110.26,37.50,57.89
95.78,58.22,89.70,85.23
32.27,120.13,24.24,45.83
66.90,57.45,82.58,72.85
60.47,124.71,69.27,77.72
68.92,28.30,45.22,48.95
21.45,34.27,77.67,52.12
89.77,57.72,82.59,79.77
94.57,67.19,94.71,89.16
65.21,58.82,49.42,56.04
75.73,116.91,74.88,83.54
93.80,23.57,68.21,66.96
76.58,59.17,62.02,65.82
32.20,127.21,91.23,80.72
66.10,19.35,20.25,33.83
68.54,141.93,42.57,70.23
53.93,148.08,63.06,77.33
78.92,22.40,34.26,45.29
94.75,50.78,92.63,84.90
94.05,62.14,71.81,76.55
56.07,118.69,58.23,69.67
29.06,93.43,85.18,69.99
98.79,100.21,56.07,77.71
87.11,116.05,64.69,81.69
29.97,26.52,20.22,24.41
93.67,126.65,49.26,78.06
89.59,108.79,31.10,64.19
61.51,90.83,75.18,74.21
67.30,134.56,58.32,76.26
51.92,108.04,44.14,59.25
24.38,38.24,57.43,43.68
46.82,70.16,36.77,46.46
84.23,79.17,94.01,88.11
20.37,17.73,24.32,21.82
46.68,143.65,89.23,87.35
51.85,28.00,60.91,51.61
62.99,107.64,69.52,75.19
93.59,80.87,44.21,66.36
47.71,13.59,97.34,65.70
47.76,139.46,42.55,63.49
79.00,129.26,67.11,83.11
56.18,83.40,99.47,83.27
37.97,42.05,90.49,65.05
56.20,27.03,62.91,53.72
31.27,60.87,99.23,71.17
34.11,45.76,76.11,57.44
59.87,80.94,36.70,52.50
53.51,145.30,52.45,71.34
93.19,90.49,46.76,69.44
48.99,134.59,47.52,65.38
66.45,101.12,80.84,80.58
70.58,76.53,66.74,69.85
21.05,129.65,23.05,43.77
73.08,75.99,90.20,82.22
34.24,131.61,43.74,58.46
96.89,50.82,99.77,89.12
31.89,28.03,96.34,63.34
53.17,129.74,95.24,89.52
26.83,92.24,84.89,68.94
99.75,134.47,37.65,75.64
60.18,141.30,62.61,77.62
67.63,17.51,37.94,42.76
25.37,80.14,40.77,44.02
80.00,62.50,68.88,70.94
36.79,97.62,23.27,42.20
91.84,121.10,97.56,100.55
36.41,49.28,93.49,67.52
35.26,87.95,50.46,53.40
22.92,109.22,61.23,59.34
57.77,28.82,57.29,51.74
65.19,123.97,90.58,89.64
25.26,94.86,75.09,64.09
82.04,142.94,42.25,74.33
56.26,57.53,55.75,56.26
61.95,25.14,54.32,50.77
55.26,80.91,96.75,81.13
52.06,22.01,34.02,37.03
64.77,145.73,27.17,62.16
32.42,15.42,90.45,58.04
34.55,115.49,91.73,79.33
88.94,83.51,89.74,88.25
95.69,61.61,60.88,71.47
49.86,19.22,72.78,55.19
41.66,97.10,65.07,64.45
