temperature,rainfall,humidity
29.59,97.35,86.55
47.01,74.44,44.83
95.43,15.52,25.05
45.86,12.03,25.98
61.50,26.69,40.14
76.24,100.87,34.24
49.09,89.40,81.94
97.74,87.48,45.73
97.00,14.46,84.38
40.14,75.70,33.91
59.78,139.45,59.43
44.07,65.66,75.04
42.79,97.49,72.16
22.95,119.17,68.09
68.77,119.75,93.99
60.21,82.70,38.28
24.12,130.11,59.50
42.29,64.79,90.72
92.66,134.42,26.23
39.16,43.63,24.47
31.59,49.23,38.66
59.16,17.44,70.64
98.85,121.38,40.79
39.36,68.39,35.22
73.77,42.08,56.70
80.93,42.45,69.09
39.01,136.20,39.88
78.26,126.75,44.06
49.42,87.49,69.08
70.58,96.26,95.66
70.68,76.41,73.98
62.86,64.83,82.63
27.22,138.17,49.34
86.82,27.59,41.78
45.66,68.58,56.34
34.92,58.24,84.57
23.26,79.74,56.50
67.27,74.07,87.74
74.21,82.64,99.10
21.33,29.59,25.76
60.97,81.84,23.63
38.12,43.94,31.97
71.61,35.81,50.75
33.95,19.08,30.48
75.28,116.77,89.65
50.94,69.84,21.85
94.94,97.73,45.26
31.00,111.86,34.78
47.29,105.10,94.52
29.08,75.87,73.56
93.98,64.31,92.96
90.19,62.63,97.79
40.64,99.61,59.77
72.80,79.27,38.75
85.38,128.88,35.50
64.42,132.46,37.83
62.37,33.88,76.69
39.35,29.07,23.24
27.45,98.26,24.11
91.78,52.17,68.65
92.03,12.60,71.36
70.65,134.41,73.22
47.12,41.77,49.75
47.94,140.10,84.48
78.08,110.44,62.69
91.77,116.77,28.44
90.97,38.20,83.77
82.39,42.79,96.25
71.36,82.98,24.80
26.73,34.09,51.31
32.93,52.76,59.00
91.88,55.00,31.72
68.51,32.35,89.42
20.74,38.73,42.73
28.12,120.40,82.64
73.08,33.41,73.68
20.40,13.98,67.84
32.86,98.11,35.37
63.90,146.64,37.66
75.35,56.37,23.79
72.16,26.61,39.26
37.94,89.85,47.64
76.97,136.89,86.65
38.98,119.77,49.31
46.03,97.15,80.37
79.72,54.11,55.16
71.97,85.86,82.79
87.94,22.77,98.10
72.61,105.05,39.19
65.46,111.51,88.99
27.49,145.10,69.75
49.42,46.46,85.38
41.22,12.58,72.13
39.52,86.39,53.92
97.84,108.95,38.25
51.45,120.66,25.60
91.36,37.12,62.84
70.49,46.65,99.23
83.58,81.76,79.04
60.21,56.28,46.19
66.15,130.47,86.18
59.40,76.33,81.52
35.62,121.94,42.53
77.80,91.29,21.14
42.46,118.23,29.45
21.95,56.57,90.18
71.64,126.40,86.93
34.17,48.44,43.62
95.24,86.45,42.82
96.31,39.96,83.43
93.19,76.57,95.02
49.61,54.54,82.33
21.24,47.34,68.45
94.27,145.38,39.41
54.25,32.41,62.06
97.33,120.23,38.68
97.09,147.78,84.64
88.24,12.79,50.96
43.56,107.86,86.70
50.81,45.41,50.53
88.09,15.67,85.93
45.35,66.40,46.67
33.56,140.93,55.21
64.54,11.65,69.24
94.89,92.30,25.62
75.68,80.20,95.86
65.60,132.27,65.89
27.77,21.76,60.63
69.20,105.41,87.15
99.20,105.22,89.26
31.21,103.67,61.78
61.47,141.93,94.18
90.19,125.23,25.18
79.26,15.88,29.06
75.76,75.95,67.74
76.20,65.71,48.33
48.76,53.42,57.14
43.49,73.19,46.25
84.75,63.79,52.38
84.81,70.53,85.81
89.37,147.10,67.48
93.06,22.41,99.79
60.91,139.11,82.95
60.12,77.23,41.89
83.86,97.32,41.15
72.00,126.23,46.87
76.16,60.46,87.46
83.66,70.26,22.18
91.20,67.33,38.41
47.04,62.46,92.39
50.05,139.57,71.19
27.52,126.05,38.15
66.26,25.26,37.53
22.88,25.14,89.01
57.25,69.90,91.50
63.41,23.81,40.49
42.92,96.67,53.64
67.27,30.12,86.77
22.44,83.13,81.68
22.99,11.01,85.11
85.81,54.32,61.47
48.82,104.81,92.92
30.16,77.77,46.08
61.78,146.96,32.53
81.60,132.37,76.70
37.27,60.27,63.15
69.83,16.37,88.37
26.83,128.39,26.49
24.13,137.57,87.50
62.51,124.89,43.46
63.25,27.91,72.39
70.99,149.71,23.21
78.09,46.20,68.77
98.07,111.39,77.38
61.30,137.12,49.50
45.84,43.00,37.23
83.61,137.16,63.01
41.67,53.33,86.66
55.12,146.70,45.88
26.28,49.38,40.20
22.03,143.48,42.31
97.01,17.50,95.93
86.88,109.30,48.74
75.68,84.50,20.29
52.72,76.90,82.53
33.86,41.29,75.94
32.51,108.78,30.29
40.02,36.71,98.79
63.94,87.40,68.64
77.17,45.45,60.06
72.82,143.79,50.58
42.39,14.01,91.89
96.39,37.96,39.52
79.03,43.92,42.86
64.35,67.97,29.79
68.94,42.58,80.73
53.57,78.79,67.64
39.82,132.15,68.73
48.48,109.69,37.48
80.63,91.19,72.09
21.15,22.46,81.24
29.29,107.16,48.63
23.68,33.30,84.11
23.26,120.09,47.90
88.44,45.01,80.65
76.29,68.39,22.70
57.93,59.07,64.09
27.83,130.23,97.56
59.33,27.72,98.50
57.88,89.19,42.54
33.86,29.89,55.31
54.71,108.67,25.04
51.88,136.71,89.87
69.27,70.85,65.49
70.81,78.33,50.81
23.62,139.84,29.02
49.97,82.94,95.74
70.07,78.26,62.42
60.25,90.97,42.63
88.52,106.49,48.02
72.70,24.96,41.66
33.03,124.96,68.14
25.65,70.97,94.40
71.39,20.13,88.54
22.12,120.07,56.83
66.86,62.77,86.12
95.22,24.05,53.85
66.04,98.73,40.18
51.05,133.22,98.67
71.46,134.29,44.31
56.66,144.07,45.90
63.65,131.48,99.18
95.32,10.30,30.71
50.89,63.23,80.84
96.90,124.60,94.87
92.43,61.28,60.94
35.66,94.22,20.20
25.55,94.88,50.00
28.06,61.10,28.93
21.46,136.63,53.30
27.56,80.45,83.20
74.64,75.07,55.10
25.70,149.65,54.55
45.52,79.09,64.54
87.59,34.98,66.54
21.86,81.83,88.50
85.16,123.96,44.67
42.55,118.76,85.73
29.45,120.40,65.27
75.74,109.12,44.04
70.32,45.59,43.61
90.20,130.69,48.89
78.81,135.08,69.82
84.28,37.18,38.46
42.56,28.26,93.63
34.20,146.58,65.99
80.05,131.57,93.60
84.55,135.05,23.71
99.24,134.09,47.41
53.01,85.84,21.82
49.76,100.50,41.78
82.11,86.35,88.96
47.26,17.17,22.93
94.46,114.37,54.89
88.67,80.75,29.41
54.32,100.68,53.35
80.07,80.37,87.11
80.36,78.85,69.85
28.25,34.05,78.94
92.20,49.02,47.93
60.42,32.24,95.55
86.12,37.39,76.74
45.60,146.22,53.74
91.64,31.44,54.12
51.14,47.70,93.49
20.87,92.68,66.11
92.43,95.43,76.51
27.30,31.56,53.36
45.55,121.12,37.90
96.00,119.93,77.88
96.05,43.22,68.63
65.88,50.41,60.11
70.55,141.32,69.92
55.88,125.59,36.66
43.46,107.69,83.52
46.29,21.51,95.85
73.80,68.56,91.29
80.19,88.30,45.71
83.33,36.24,52.48
83.17,72.75,84.67
27.30,94.14,67.61
59.55,55.83,63.83
24.60,119.33,94.13
63.96,127.66,62.88
55.32,55.31,61.20
91.02,127.41,23.36
48.07,24.50,25.55
29.37,127.28,20.59
31.44,31.39,93.06
80.92,21.61,52.67
69.46,99.85,57.48
28.09,76.07,87.63
26.73,137.10,68.74
76.08,60.85,68.76
25.82,50.20,43.72
85.75,80.10,86.71
76.50,73.83,33.27
26.51,58.22,24.25
26.79,107.12,35.33
98.93,116.34,41.42
49.94,129.42,42.58
49.65,146.20,73.64
85.02,47.33,37.43
95.78,110.25,74.13
98.88,65.20,27.29
80.27,104.79,31.78
50.10,76.64,60.71
26.68,149.13,93.75
82.17,112.05,88.77
64.67,143.35,97.50
53.94,126.90,72.04
92.51,136.41,74.07
28.90,124.02,70.00
59.41,74.28,69.83
20.91,45.25,31.77
57.49,61.84,63.50
24.50,12.83,50.89
29.51,83.36,55.40
29.40,80.71,61.89
71.94,83.54,30.27
79.68,146.36,48.76
66.67,137.60,25.08
96.97,32.64,98.37
49.99,61.64,29.48
42.86,69.35,40.68
89.49,60.47,91.30
37.89,121.79,58.62
97.06,83.37,30.85
20.97,90.09,50.74
97.59,129.42,29.27
23.45,122.83,36.02
91.29,28.51,24.16
62.22,109.95,55.06
99.44,70.96,84.53
25.90,51.25,66.88
64.31,17.00,68.51
97.54,78.21,36.05
61.85,59.76,47.51
70.35,45.21,87.62
75.66,107.25,27.03
56.36,117.73,88.63
70.20,44.27,58.70
66.75,16.92,86.97
92.09,128.83,45.44
23.64,11.39,47.11
42.48,141.20,80.13
96.03,97.87,82.80
91.22,55.06,38.37
56.45,44.51,97.83
69.61,11.26,26.76
42.19,42.97,25.48
35.05,29.28,67.64
57.10,95.70,77.82
48.27,33.32,96.87
66.69,84.01,52.40
26.22,92.62,22.02
97.95,51.73,68.23
98.90,14.91,43.18
75.85,15.22,54.64
62.89,13.69,59.08
44.76,113.48,25.16
85.10,54.52,58.88
74.78,121.48,54.11
33.01,70.44,77.00
92.87,73.42,71.65
85.80,81.80,34.82
95.98,109.82,36.49
78.06,48.29,40.08
69.07,27.02,34.32
53.46,87.85,72.58
94.62,55.78,99.55
89.29,71.95,72.17
23.62,100.57,68.53
22.11,79.18,52.79
50.12,96.84,45.01
84.84,86.19,92.89
98.98,113.57,97.52
32.03,108.83,59.74
67.53,84.79,43.22
50.47,105.05,81.61
97.59,132.30,30.60
87.37,70.52,81.25
87.07,67.79,85.52
57.50,116.99,29.99
53.19,91.56,98.15
41.87,19.94,98.84
24.51,134.90,94.94
89.18,14.31,59.68
85.03,114.78,39.69
99.98,116.23,66.56
99.73,143.44,53.59
64.43,17.58,36.48
81.52,93.56,53.89
95.58,69.90,73.11
87.97,56.29,25.67
39.79,22.64,46.67
56.04,88.77,21.42
30.33,77.07,79.96
96.32,24.64,71.26
68.49,95.75,25.01
38.29,113.31,97.18
73.74,117.42,21.81
69.45,136.75,67.20
48.65,67.33,82.11
29.08,143.43,83.03
73.73,131.16,22.74
61.62,51.51,92.51
81.79,32.30,93.48
61.61,70.95,64.91
88.17,66.27,58.57
64.15,90.60,23.59
64.88,91.67,64.96
90.13,115.00,52.75
52.28,81.38,81.82
30.72,24.68,52.31
22.30,130.16,74.69
80.41,53.37,28.11
69.62,145.98,30.64
76.33,26.50,31.18
37.04,144.16,23.64
30.91,22.74,63.31
21.16,42.35,83.52
48.05,16.52,68.83
67.19,108.72,66.00
51.38,129.04,74.45
55.00,70.77,47.17
92.33,139.99,48.96
47.86,92.64,45.14
61.12,98.20,76.97
82.69,128.36,32.93
51.72,51.55,21.04
69.77,59.60,67.70
88.99,136.83,95.39
95.96,136.13,68.75
31.77,146.71,82.63
94.13,136.26,73.82
59.37,27.83,59.79
40.66,125.32,77.47
56.73,67.38,85.93
98.40,148.71,37.98
59.41,76.12,46.89
46.30,87.54,37.90
70.67,84.17,56.17
39.21,55.04,90.81
26.07,20.50,47.62
30.31,135.39,49.96
30.24,122.37,88.83
32.15,29.53,61.23
31.11,118.75,62.84
71.27,97.62,88.86
34.55,67.28,59.24
47.65,45.56,74.52
91.74,130.36,26.85
57.92,108.03,34.29
73.40,86.68,52.35
33.79,95.34,59.59
35.38,22.75,97.26
23.27,76.35,97.65
33.51,37.12,88.10
42.29,39.17,45.25
34.16,102.58,97.12
27.10,137.58,75.15
29.65,66.53,51.44
56.86,39.08,76.13
36.51,100.82,21.32
49.14,131.97,31.69
60.27,114.76,86.37
75.23,131.63,71.65
23.14,85.12,49.14
83.95,115.26,60.05
70.23,29.61,92.41
26.54,58.76,70.53
89.89,64.54,51.85
93.67,81.58,29.63
24.89,140.07,43.50
42.15,132.40,98.27
84.50,28.83,54.99
79.86,34.19,57.75
34.76,60.07,59.89
36.75,50.70,90.73
49.64,96.07,68.31
58.76,136.39,75.49
69.46,144.72,51.15
49.51,101.50,22.33
57.00,127.34,94.48
79.80,83.53,95.93
22.93,39.17,95.93
40.19,83.46,95.49
77.07,87.71,85.22
91.62,113.94,74.77
60.93,40.78,87.56
62.57,61.56,68.04
28.57,60.96,30.75
55.79,144.32,51.30
62.61,72.15,97.70
39.40,115.71,48.09
41.54,115.11,89.43
50.18,47.18,27.46
21.61,90.06,46.73
45.77,135.20,48.08
36.92,76.53,24.13
46.20,142.32,29.53
29.58,40.02,35.45
91.24,20.38,87.03
67.49,134.80,25.07
74.33,128.68,43.90
83.13,148.96,20.81
59.88,105.12,75.65
26.95,141.14,69.62
62.97,125.77,71.60
66.95,128.22,49.95
79.64,89.68,36.66
54.53,63.53,77.63
30.21,140.84,84.89
42.70,70.50,31.09
49.05,85.43,58.95
71.67,72.46,39.90
65.66,89.07,33.45
48.49,75.87,78.75
98.92,16.72,63.05
68.46,133.49,37.29
38.98,72.22,44.80
28.14,92.45,97.33
32.23,29.49,87.89
39.68,10.47,90.40
32.85,44.34,56.80
34.93,108.64,69.90
42.81,23.89,50.14
33.87,137.24,26.22
91.74,40.10,52.09
26.42,38.64,67.52
61.96,35.41,42.97
52.83,11.96,87.84
98.59,118.05,32.09
28.96,132.50,49.37
51.83,95.98,29.99
97.56,36.35,52.39
89.24,49.94,23.17
85.37,76.63,41.80
40.63,143.61,52.06
33.67,44.63,58.25
73.49,112.43,63.50
94.35,71.52,42.00
64.54,51.70,61.84
65.73,73.83,60.72
42.40,19.97,45.29
81.56,121.82,86.42
34.96,44.06,63.65
45.89,111.56,46.58
54.03,19.57,95.79
60.61,143.71,87.61
39.39,37.02,98.61
29.19,133.58,75.38
68.85,123.33,50.26
43.09,145.50,42.47
66.50,76.90,73.07
32.35,111.84,98.47
58.49,61.90,70.14
62.61,35.81,90.53
24.15,72.03,46.33
46.93,33.20,52.56
30.75,147.49,92.50
25.07,23.47,80.55
99.20,92.49,98.51
45.79,97.70,81.98
84.79,85.33,55.88
40.37,102.71,62.49
74.52,26.27,92.04
80.82,87.70,64.13
67.65,50.21,40.43
57.73,141.62,54.85
52.95,116.69,61.31
47.91,146.15,27.74
94.36,15.26,79.50
86.45,49.92,28.75
97.20,37.36,52.39
29.94,11.56,84.37
78.47,43.93,57.41
95.07,105.03,87.36
34.50,42.35,47.35
25.32,81.26,96.61
79.29,134.29,36.76
65.96,107.13,23.06
87.35,65.25,89.79
31.18,62.15,80.18
83.62,73.80,38.56
36.13,34.79,98.78
33.09,98.76,60.18
33.14,60.98,96.09
85.17,129.33,60.40
73.22,115.92,57.75
61.85,95.47,55.93
48.71,60.99,46.79
90.18,39.39,62.70
51.40,118.66,56.20
85.33,78.10,22.94
55.13,41.47,40.83
50.16,37.32,37.05
57.01,33.16,89.39
44.11,118.80,67.91
79.81,42.06,81.09
60.22,83.73,96.55
38.58,73.22,71.52
91.97,91.15,98.61
50.71,132.80,44.94
63.48,131.48,34.90
92.52,73.15,52.26
69.94,12.15,57.66
29.35,69.70,91.63
95.19,94.87,64.80
70.22,88.09,43.37
46.79,101.19,79.41
31.14,31.57,60.47
83.52,100.51,32.97
69.61,35.57,66.15
62.68,115.07,92.91
91.51,57.47,87.41
83.09,109.39,66.94
32.13,16.70,50.17
44.94,67.10,26.96
39.88,108.70,57.57
79.52,41.76,80.17
22.68,121.34,48.82
65.59,98.31,38.84
81.00,92.26,94.51
90.14,59.50,85.72
47.37,77.54,71.06
85.70,93.63,30.94
28.85,76.14,31.59
87.72,107.76,28.26
30.20,70.72,69.30
51.78,38.32,29.25
83.78,39.95,87.41
31.99,10.81,99.44
38.34,52.13,49.31
77.78,114.85,56.29
77.60,121.18,76.93
71.29,38.35,94.97
75.52,144.27,91.53
63.42,80.34,24.61
40.14,138.38,33.53
47.66,108.95,80.37
34.53,111.14,75.11
92.68,21.91,30.66
66.67,40.80,60.17
52.07,11.23,82.47
56.96,110.26,37.50
95.78,58.22,89.70
32.27,120.13,24.24
66.90,57.45,82.58
60.47,124.71,69.27
68.92,28.30,45.22
21.45,34.27,77.67
89.77,57.72,82.59
94.57,67.19,94.71
65.21,58.82,49.42
75.73,116.91,74.88
93.80,23.57,68.21
76.58,59.17,62.02
32.20,127.21,91.23
66.10,19.35,20.25
68.54,141.93,42.57
53.93,148.08,63.06
78.92,22.40,34.26
94.75,50.78,92.63
94.05,62.14,71.81
56.07,118.69,58.23
29.06,93.43,85.18
98.79,100.21,56.07
87.11,116.05,64.69
29.97,26.52,20.22
93.67,126.65,49.26
89.59,108.79,31.10
61.51,90.83,75.18
67.30,134.56,58.32
51.92,108.04,44.14
24.38,38.24,57.43
46.82,70.16,36.77
84.23,79.17,94.01
20.37,17.73,24.32
46.68,143.65,89.23
51.85,28.00,60.91
62.99,107.64,69.52
93.59,80.87,44.21
47.71,13.59,97.34
47.76,139.46,42.55
79.00,129.26,67.11
56.18,83.40,99.47
37.97,42.05,90.49
56.20,27.03,62.91
31.27,60.87,99.23
34.11,45.76,76.11
59.87,80.94,36.70
53.51,145.30,52.45
93.19,90.49,46.76
48.99,134.59,47.52
66.45,101.12,80.84
70.58,76.53,66.74
21.05,129.65,23.05
73.08,75.99,90.20
34.24,131.61,43.74
96.89,50.82,99.77
31.89,28.03,96.34
53.17,129.74,95.24
26.83,92.24,84.89
99.75,134.47,37.65
60.18,141.30,62.61
67.63,17.51,37.94
25.37,80.14,40.77
80.00,62.50,68.88
36.79,97.62,23.27
91.84,121.10,97.56
36.41,49.28,93.49
35.26,87.95,50.46
22.92,109.22,61.23
57.77,28.82,57.29
65.19,123.97,90.58
25.26,94.86,75.09
82.04,142.94,42.25
56.26,57.53,55.75
61.95,25.14,54.32
55.26,80.91,96.75
52.06,22.01,34.02
64.77,145.73,27.17
32.42,15.42,90.45
34.55,115.49,91.73
88.94,83.51,89.74
95.69,61.61,60.88
49.86,19.22,72.78
41.66,97.10,65.07
71.52,91.93,25.56
52.70,49.32,67.67
22.03,137.43,21.09
32.49,52.58,46.00
77.28,72.96,94.58
72.71,86.13,44.32
22.17,24.03,95.19
37.76,140.50,40.01
38.49,62.44,45.16
73.75,21.31,70.27
21.58,64.22,80.93
28.33,94.03,60.11
83.99,81.91,90.57
34.28,107.24,23.22
72.22,17.77,93.78
39.05,49.84,35.70
27.96,124.69,90.74
39.45,21.19,52.07
77.78,129.77,86.62
88.46,22.87,73.73
86.42,126.82,34.08
51.77,60.51,93.44
73.45,95.71,39.64
36.40,31.40,39.53
43.45,19.26,85.13
91.71,40.23,28.47
21.04,27.90,37.76
26.84,53.74,60.29
36.63,82.01,86.44
22.12,92.43,31.80
34.51,120.58,63.81
66.64,101.87,76.90
53.71,95.23,88.85
91.41,67.65,94.85
85.40,76.33,82.77
47.35,68.03,72.23
40.75,127.90,54.69
50.38,42.20,28.97
67.22,10.80,76.78
41.45,101.18,99.42
69.93,38.34,78.94
52.75,134.62,21.34
64.16,130.27,59.70
54.89,20.74,69.17
43.56,24.89,75.17
95.88,79.32,77.58
81.09,95.29,64.65
31.21,48.49,37.87
89.48,110.35,95.38
58.99,93.29,75.73
91.56,55.48,38.95
83.99,13.55,45.79
54.02,115.02,93.75
21.80,40.07,91.00
41.49,126.83,52.41
63.33,68.84,23.06
70.68,90.79,23.88
40.63,132.21,42.71
31.15,130.91,70.33
86.79,62.01,66.74
98.75,39.24,70.71
62.06,118.52,77.38
33.73,70.63,21.52
41.78,36.89,28.41
21.47,136.62,48.76
93.14,37.73,32.39
29.42,13.61,26.03
66.12,12.84,71.28
41.92,97.12,85.23
64.33,102.63,80.21
72.11,53.55,85.36
86.38,54.80,73.27
36.51,57.53,78.83
20.88,105.22,41.74
30.95,18.14,99.44
92.00,140.08,34.65
89.91,41.15,37.16
67.79,149.95,43.11
68.04,34.01,98.03
73.20,118.02,99.06
34.03,41.28,83.59
93.15,21.32,70.32
53.50,132.49,61.61
50.65,130.23,97.65
61.51,66.50,75.65
23.76,108.34,95.58
33.30,87.99,45.32
79.04,129.41,46.70
26.62,54.11,88.38
68.25,83.31,31.99
39.63,77.95,95.67
51.14,59.55,60.60
43.10,134.80,94.11
48.45,33.22,46.94
77.52,30.93,77.28
43.77,90.77,58.63
65.31,102.05,70.14
58.08,37.25,60.35
73.09,64.70,97.37
94.95,142.52,75.37
78.61,44.53,40.11
37.20,103.57,92.77
22.49,113.62,43.52
40.98,72.74,49.73
67.61,141.25,28.17
24.11,113.13,92.00
59.71,74.11,42.89
67.75,89.71,40.71
46.74,106.97,93.62
81.67,92.91,84.44
28.53,133.02,31.29
26.01,59.96,81.55
78.26,51.98,93.04
59.64,39.94,26.28
75.07,15.29,86.02
54.79,16.02,63.79
39.71,131.81,73.54
85.53,104.98,59.43
83.95,102.47,75.82
75.58,96.05,22.73
41.77,128.89,81.02
67.22,77.24,22.67
48.88,131.86,56.42
27.33,60.32,32.08
93.39,139.74,85.89
30.95,107.81,45.09
96.02,46.00,56.33
55.68,88.97,54.30
34.81,84.62,81.80
63.35,29.31,58.49
89.84,92.77,83.12
78.58,54.07,25.88
84.52,17.33,35.33
72.70,142.81,64.12
75.38,99.81,95.77
87.94,132.77,25.98
39.97,104.65,23.45
59.15,59.98,32.52
37.70,81.78,71.29
99.01,104.60,51.92
95.52,144.44,86.04
23.15,45.51,25.75
76.45,132.50,35.71
94.02,139.37,44.00
34.45,103.86,70.14
65.44,140.38,74.81
93.24,65.70,29.94
22.72,143.42,95.50
75.79,108.39,47.28
43.79,15.88,77.05
93.95,136.96,61.94
97.68,77.83,37.82
95.54,74.45,87.70
57.94,89.31,85.46
88.96,30.91,51.69
87.56,75.68,67.09
45.53,126.36,40.63
86.31,12.17,75.19
22.96,48.21,44.72
67.70,10.34,87.53
38.40,68.20,37.39
29.65,111.96,21.18
26.16,121.83,41.48
75.70,142.33,35.28
47.19,95.19,60.66
77.98,45.65,36.30
25.23,139.38,81.06
45.22,118.54,39.31
63.16,90.42,76.56
83.26,107.39,66.28
45.50,139.40,98.90
70.07,109.74,99.99
90.88,61.57,89.56
69.27,109.82,80.80
38.64,15.64,50.92
21.95,64.10,80.26
89.61,66.89,96.53
21.70,33.36,21.87
89.98,13.23,63.03
62.31,28.67,37.44
95.13,101.65,64.63
83.90,122.32,57.32
99.83,148.35,66.06
48.06,58.49,64.08
81.38,93.91,96.81
52.15,141.20,64.17
58.39,33.39,87.70
70.20,110.47,45.59
89.89,115.70,55.05
98.73,22.46,57.63
81.46,130.57,42.30
53.42,123.83,50.38
53.71,14.68,67.88
79.01,22.75,66.42
39.10,16.88,70.91
28.84,56.86,48.15
48.37,81.30,45.27
42.98,84.53,68.93
43.70,47.47,30.63
38.69,137.62,40.24
23.37,61.56,23.37
21.43,16.38,25.81
99.02,52.03,39.47
54.22,84.36,21.56
50.75,67.15,39.63
74.37,48.34,72.40
37.46,28.39,24.89
96.00,124.68,54.94
82.91,149.46,93.05
27.15,56.14,83.30
53.41,63.43,44.44
90.33,96.53,93.98
95.58,110.58,46.37
57.39,64.88,25.80
69.07,136.69,99.52
33.36,88.40,89.60
99.29,73.05,57.27
38.53,100.53,73.31
95.42,143.39,73.70
71.97,121.24,35.56
68.62,15.60,36.00
61.02,56.52,57.57
38.45,75.88,92.93
34.12,54.03,20.80
37.64,108.03,82.60
34.92,125.68,24.60
82.37,112.39,58.26
48.01,148.51,71.03
24.63,48.16,74.94
97.53,132.50,24.68
90.70,117.33,53.49
94.22,60.71,66.71
99.59,112.78,25.28
33.91,24.57,30.81
51.70,120.51,73.09
80.66,84.53,61.73
75.68,50.92,32.95
32.31,101.81,62.82
85.27,99.83,93.02
37.96,39.33,21.25
37.91,14.26,71.41
62.96,70.71,25.89
67.44,89.73,20.52
66.41,132.72,32.05
27.32,139.95,53.83
90.20,84.03,84.19
41.25,115.53,42.54
30.36,71.50,70.05
91.10,114.45,52.89
96.45,38.67,38.75
88.97,61.95,61.14
84.76,98.79,83.80
72.42,12.54,86.60
64.07,111.14,87.72
26.96,126.97,47.08
52.68,65.88,83.48
49.82,72.71,36.97
40.78,129.18,79.07
77.87,118.59,95.87
59.67,50.34,21.10
26.48,55.36,55.23
37.61,105.04,71.82
74.66,88.85,76.14
26.09,32.71,34.09
88.10,53.39,97.77
59.61,136.00,69.22
58.45,106.34,33.15
67.39,148.04,21.64
85.97,117.38,82.66
47.82,141.88,26.38
74.24,40.27,31.28
65.26,118.01,65.99
41.36,12.83,68.28
90.29,103.91,74.95
83.79,75.70,51.48
72.68,58.55,81.91
88.05,130.74,97.95
89.38,129.60,41.69
76.67,13.12,76.24
86.96,95.33,94.28
75.80,61.50,74.90
74.41,68.19,74.49
69.49,126.49,37.90
80.22,53.38,62.81
32.69,142.03,65.00
90.47,35.15,76.01
89.75,102.78,99.75
22.34,104.09,22.69
86.07,45.31,25.22
30.31,55.47,26.24
46.81,126.87,79.44
79.48,116.65,30.91
